"id","from","reply_to","subject","body","body_html","attachments","category","is_phishing"
"81","Craft Beer Monthly <cheers@craftbrewersclub.com>","cheers@craftbrewersclub.com","Discover 12 Rare Microbrews from Independent Breweries","Each box features unique IPAs, stouts, and ales shipped directly from award-winning regional brewers.","<p>Each box features unique IPAs, stouts, and ales shipped directly from award-winning regional brewers.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"82","Language Master Online <study@fluentin3months.net>","study@fluentin3months.net","Learn conversational French, German, or Japanese in 90 days","Our proven immersive method helps you speak with confidence in minutes a day.","<p>Our proven immersive method helps you speak with confidence in minutes a day.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"83","Gourmet Snacks Box <snack@treatsoftheworld.com>","snack@treatsoftheworld.com","Try Authentic Snacks from Tokyo, Seoul, and Paris","Get a curated box of exotic candies, chips, and pastries delivered to your doorstep every month.","<p>Get a curated box of exotic candies, chips, and pastries delivered to your doorstep every month.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"84","Online Therapy Network <support@mindwellnessportal.org>","support@mindwellnessportal.org","Professional counseling from licensed therapists online","Connect with an experienced therapist from the comfort of home. Flexible scheduling available.","<p>Connect with an experienced therapist from the comfort of home. Flexible scheduling available.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"85","Gourmet Spice Market <spices@artisanflavors.com>","spices@artisanflavors.com","Authentic Himalayan Pink Salt & Saffron Collection","Enhance your cooking with pure, ethically sourced organic spices from around the world.","<p>Enhance your cooking with pure, ethically sourced organic spices from around the world.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"86","Wine Connoisseur Guild <club@vintagecellarsdirect.com>","club@vintagecellarsdirect.com","6 Award-Winning California Wines for only $49.99","Curated by certified sommeliers and delivered in temperature-controlled packaging.","<p>Curated by certified sommeliers and delivered in temperature-controlled packaging.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"87","Smart Garden Systems <grow@indoorhydroponics.com>","grow@indoorhydroponics.com","Grow fresh herbs and lettuce on your kitchen counter","Zero soil, zero mess indoor hydroponic gardening kits with automated LED grow lights.","<p>Zero soil, zero mess indoor hydroponic gardening kits with automated LED grow lights.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"88","Vintage Watch Collectors <newsletter@horologymarket.biz>","newsletter@horologymarket.biz","Collector Timepieces: Swiss Automatic Watches Showcase","Explore pre-owned certified luxury watches with guaranteed authenticity certificates.","<p>Explore pre-owned certified luxury watches with guaranteed authenticity certificates.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"89","Outdoor Adventure Gear <explore@mountaintrekoutfitters.com>","explore@mountaintrekoutfitters.com","Waterproof Hiking Boots & Tents: 35% End of Season Sale","Durable outdoor gear tested in extreme conditions. Free returns within 30 days.","<p>Durable outdoor gear tested in extreme conditions. Free returns within 30 days.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"90","Auto Detailing Supplies <shine@procarcleaning.com>","shine@procarcleaning.com","Ceramic Coating and Car Wash Kits for Enthusiasts","Achieve a showroom shine with professional-grade ceramic spray wax and microfiber towels.","<p>Achieve a showroom shine with professional-grade ceramic spray wax and microfiber towels.</p><p><a href='https://example.com/unsubscribe'>Unsubscribe</a></p>","[]","SPAM","0"
"91","PayPal Security <service@paypal-urgent-update99.xyz>","recovery@attacker-box.top","URGENT: Your PayPal Account Has Been Restricted in 24 Hours","Dear Customer,

We detected unauthorized login activity on your PayPal balance from an unknown device in Moscow. To prevent permanent suspension, you must verify your identity within 24 hours.

Click link to confirm your account credentials: https://pаypal.com/signin/verify","<p>Verify your credentials: <a href='https://pаypal.com/signin/verify'>https://www.paypal.com/myaccount</a></p>","[]","PHISHING","1"
"92","Microsoft 365 Support <admin@m1crosoft-auth-portal.xyz>","","Final Notice: Your Microsoft 365 Password Expires Today","Your corporate Microsoft 365 password expires in 3 hours. Failure to update your password will result in loss of access to Outlook and Teams.

Keep your current password here: https://m1crosoft-login-auth.xyz/oauth2","<p>Update password: <a href='https://m1crosoft-login-auth.xyz/oauth2'>https://login.microsoftonline.com</a></p>","[]","PHISHING","1"
"93","Apple Security Team <billing@apple-id-verify.top>","auth@relay-inbox.xyz","Security Alert: Your Apple ID has been locked","Your Apple ID was used to sign in to iCloud via an unrecognized browser. Your account is locked. Verify your credentials within 12 hours.

Verify Apple ID: https://apple.com@verify-account.top/portal","<p><a href='https://apple.com@verify-account.top/portal'>https://appleid.apple.com</a></p>","[]","PHISHING","1"
"94","Netflix Billing <support@netf1ix-update-service.com>","","Membership Suspended: Update your payment details immediately","We were unable to process your payment for the next billing cycle. Your subscription has been paused. Please re-enter your credit card information.

Update billing: https://netf1ix-billing.xyz/login","<p><a href='https://netf1ix-billing.xyz/login'>https://www.netflix.com/billing</a></p>","[]","PHISHING","1"
"95","Amazon Security Center <security@amaz0n-alerts-portal.com>","harvest@attacker.net","Action Required: Unauthorized Purchase of $899.00 on Amazon","An order for 'iPhone 15 Pro' was placed from your Amazon account. If you did not authorize this charge, click immediately to cancel transaction and reset password: https://amaz0n-security.top/cancel","<p><a href='https://amaz0n-security.top/cancel'>https://amazon.com/orders</a></p>","[]","PHISHING","1"
"96","Chase Fraud Prevention <chase.fraud.alert@gmail.com>","","Unauthorized Wire Transfer of $3,450.00 from your Checking Account","Chase Online Banking Alert:

A wire transfer was requested. If unauthorized, download the attached dispute form and verify your account details: http://192.168.1.100/chase/login.php","<p>Dispute wire: <a href='http://192.168.1.100/chase/login.php'>chase.com/fraud</a></p>","['Dispute_Form.pdf.exe']","PHISHING","1"
"97","Bank of America Security <boa.security.team@yahoo.com>","","Security Alert: Your Debit Card has been temporarily frozen","We detected suspicious transactions on your debit card. Log in to re-authenticate your PIN and online banking credentials: http://boa-card-verify.xyz/auth","<p><a href='http://boa-card-verify.xyz/auth'>bankofamerica.com/verify</a></p>","[]","PHISHING","1"
"98","Wells Fargo Online <wellsfargo.alerts@outlook.com>","","Immediate Action: Confirm your Social Security Number for online access","Due to regulatory updates, all Wells Fargo customers must re-verify their SSN and online banking password within 48 hours to avoid account termination.","<p><a href='https://wellsfargo-verify.top/ssn'>wellsfargo.com/update</a></p>","[]","PHISHING","1"
"99","Citibank Fraud Unit <citi.fraud.dept@gmail.com>","","Alert: High-risk transaction blocked on your credit card","Citibank fraud automated monitoring system flagged a $1,250 charge in London. Click below to verify your login credentials and cancel the charge.","<p><a href='http://citi-secure-auth.xyz/dispute'>citi.com/dispute</a></p>","[]","PHISHING","1"
"100","Accounting Department <payroll@quick-invoice-service.xyz>","inbox@darkrelay.top","OVERDUE INVOICE #94821 - Legal Action Pending","Please find attached the past due invoice of $4,850.00. If unpaid within 24 hours, this matter will be referred to external law enforcement collection.","<p>Review attached invoice document.</p>","['Invoice_Overdue_94821.pdf.exe']","PHISHING","1"
"101","DocuSign Signature Service <docusign@docus1gn-review.com>","","Please Review & Sign: Confidential Wire Transfer Authorization","Accounting has sent you 'Wire_Transfer_Authorization_2026.pdf' for immediate electronic signature. Sign before session expires: https://docus1gn-review.com/auth/sign","<p><a href='https://docus1gn-review.com/auth/sign'>docusign.net/sign</a></p>","['DocuSign_Contract.docm']","PHISHING","1"
"102","Internal Revenue Service <refunds@irs-tax-refund-portal.gov.xyz>","","IRS Tax Notification: Your Tax Refund of $1,420.50 is Pending","Our records show an uncollected tax refund. Please submit your direct deposit banking credentials and Social Security Number to claim your refund within 48 hours.","<p><a href='https://irs-tax-refund.xyz/claim'>irs.gov/refund</a></p>","[]","PHISHING","1"
"103","Binance Crypto Security <security@binance-wallet-verify.net>","","Cryptocurrency Transfer: 0.85 BTC Deposited to your Wallet","A transaction of 0.85 BTC is waiting in your crypto escrow. Sign in with your wallet private key to complete withdrawal: https://binance-login-auth.xyz/wallet","<p><a href='https://binance-login-auth.xyz/wallet'>binance.com/wallet</a></p>","[]","PHISHING","1"
"104","Coinbase Support <security@c0inbase-auth.xyz>","phish@hackermail.top","Your Coinbase Account is Scheduled for Deactivation","Security policy violation detected. Re-verify your two-factor authentication seed phrase immediately: https://c0inbase-login.xyz/2fa","<p><a href='https://c0inbase-login.xyz/2fa'>coinbase.com/security</a></p>","[]","PHISHING","1"
"105","Intuit QuickBooks <billing@quickbooks-invoice-portal.net>","","Payment Past Due: Intuit Invoice #QBK-849102","Your subscription invoice of $249.00 is overdue. Download invoice or click to submit corporate banking details immediately.","<p><a href='https://quickbooks-pay.top/invoice'>quickbooks.intuit.com</a></p>","['QuickBooks_Invoice.scr']","PHISHING","1"
"106","DHL Express Delivery <tracking@dhl-parcel-notification.xyz>","","Delivery Exception: Package #DHL-98421 on hold due to address error","Your parcel could not be delivered due to an incorrect postal address and unpaid $2.49 customs fee. Update your card details within 24 hours: https://dhl-package-update.xyz/pay","<p><a href='https://dhl-package-update.xyz/pay'>dhl.com/track</a></p>","[]","PHISHING","1"
"107","FedEx Ground Alerts <tracking@fedex-shipment-resolver.top>","dropship@relay.biz","FedEx: Package delivery failed - Confirm recipient identity","We attempted delivery of package #FX-49218 today. Confirm your identity and phone number to reschedule delivery: https://fedex-tracking-portal.xyz/reschedule","<p><a href='https://fedex-tracking-portal.xyz/reschedule'>fedex.com/tracking</a></p>","[]","PHISHING","1"
"108","USPS Postal Service <alerts@usps-tracking-redelivery.xyz>","","USPS Notification: Parcel awaiting redelivery - $1.95 processing fee","Your package is held at regional sorting facility. Click to confirm shipping address and pay redelivery fee: http://usps-redelivery.top/portal","<p><a href='http://usps-redelivery.top/portal'>usps.com/redelivery</a></p>","[]","PHISHING","1"
"109","UPS Delivery Manager <updates@ups-tracking-portal.net>","","UPS Notice: Your package is awaiting dispatch approval","A shipment requires your electronic signature and payment confirmation before customs clearance. Download the shipping receipt to proceed.","<p>Download attached receipt.</p>","['UPS_Delivery_Label.iso']","PHISHING","1"
"110","Instagram Security <support@instagrаm-verify.xyz>","","Copyright Infringement Notice: Your Instagram Account will be deleted","A copyright claim was filed against your recent post. If you believe this is an error, appeal within 24 hours or your profile will be permanently deleted: https://instagrаm-appeal.xyz/login","<p><a href='https://instagrаm-appeal.xyz/login'>instagram.com/legal</a></p>","[]","PHISHING","1"
"111","Facebook Security <security@faceb00k-meta-support.com>","","Your Facebook Business Page has been flagged for violation","Meta Security Warning: Your business page violated community standards. Re-verify your administrator credentials within 24 hours to prevent unpublishing: https://faceb00k-business.xyz/auth","<p><a href='https://faceb00k-business.xyz/auth'>facebook.com/business</a></p>","[]","PHISHING","1"
"112","Dropbox File Sharing <notifications@dropbox-file-download.xyz>","share@relay-portal.top","Confidential Document Shared: 'Employee_Salaries_2026.pdf'","You have received a password-protected document via Dropbox. Log in with your corporate email password to view the document: https://dropbox-auth.xyz/view","<p><a href='https://dropbox-auth.xyz/view'>dropbox.com/share</a></p>","[]","PHISHING","1"
"113","Google Workspace Admin <admin@g00gle-workspace-verify.net>","","Critical Security Alert: Suspicious login from Nigeria detected","Someone logged into your Google Account from Lagos, Nigeria. If this was not you, change your password immediately: https://g00gle-security.xyz/reset","<p><a href='https://g00gle-security.xyz/reset'>myaccount.google.com</a></p>","[]","PHISHING","1"
"114","Zoom Video Support <helpdesk@z00m-meeting-auth.com>","","Missed Zoom Video Conference - Voice Recording Attached","You missed a high-priority meeting. Download the voice recording attachment or enter credentials to listen online: https://z00m-recordings.xyz/play","<p><a href='https://z00m-recordings.xyz/play'>zoom.us/recording</a></p>","['Meeting_Audio.vbs']","PHISHING","1"
"115","WhatsApp Web Team <support@whatsapp-web-portal.xyz>","","WhatsApp Web: 12 new unread voice messages waiting","Your WhatsApp cloud backup contains unread voice messages. Confirm your mobile phone number and OTP code to listen: https://whatsapp-auth.xyz/otp","<p><a href='https://whatsapp-auth.xyz/otp'>web.whatsapp.com</a></p>","[]","PHISHING","1"
"116","LinkedIn Talent Team <recruiting@linkdln-job-portal.com>","","You have received a job offer: $120,000/year Remote Software Engineer","A hiring manager reviewed your profile and sent an offer letter. Log in with your LinkedIn password to accept: https://linkdln-auth.xyz/offer","<p><a href='https://linkdln-auth.xyz/offer'>linkedin.com/jobs</a></p>","[]","PHISHING","1"
"117","University IT Helpdesk <helpdesk@apex-portal-login.xyz>","","URGENT: All Student Email Accounts Must Be Migrated Today","Apex University IT is upgrading campus email servers. Enter your student password and student ID to prevent mailbox deactivation: https://apex-edu-login.xyz/student","<p><a href='https://apex-edu-login.xyz/student'>apex.edu/login</a></p>","[]","PHISHING","1"
"118","Campus Financial Aid <finaid@apex-financial-scholarship.top>","aid@relay.net","Emergency Grant Approved: $2,500 Direct Student Deposit Waiting","You are eligible for emergency student financial relief. Confirm your bank account number and routing details immediately: https://apex-grants.xyz/claim","<p><a href='https://apex-grants.xyz/claim'>apex.edu/finaid</a></p>","[]","PHISHING","1"
"119","Corporate HR Department <humanresources@company-payroll-update.xyz>","","Employee Benefit Update: Action Required on Health Insurance","All employees must confirm their personal Social Security Number and banking direct deposit information before the end of the day: http://company-hr-portal.xyz/ssn","<p><a href='http://company-hr-portal.xyz/ssn'>internal-hr.com</a></p>","['HR_Form.hta']","PHISHING","1"
"120","IT Security Operations <security@corporate-vpn-gateway.top>","","VPN Certificate Expired - Install New Security Patch Immediately","Your remote VPN access has been disabled due to an expired certificate. Download and execute the attached security certificate patch to restore connection.","<p>Download attached patch.</p>","['VPN_Security_Patch.exe']","PHISHING","1"
"121","Ethereum Foundation <giveaway@eth-airdrop-rewards.xyz>","","Congratulations: You won 5.0 ETH in the Community Airdrop","Your wallet address was randomly selected for the 2026 Ethereum Foundation community reward. Connect your MetaMask wallet and confirm seed phrase to receive funds: https://eth-claim-portal.xyz/airdrop","<p><a href='https://eth-claim-portal.xyz/airdrop'>ethereum.org/airdrop</a></p>","[]","PHISHING","1"
"122","Cyber Threat Intelligence Unit <hacker@blackhat-extortion.top>","","Security Notice: Your private webcam and passwords were recorded","I have compromised your router and recorded your browsing history. Pay $1,000 in Bitcoin to wallet 1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa within 48 hours or this video will be sent to all your contacts.","<p>Pay immediately.</p>","[]","PHISHING","1"
"123","Target Rewards Team <giftcards@target-shopper-rewards.xyz>","","Claim your $500 Target Gift Card: Customer Appreciation Survey","You were selected as today's lucky shopper! Complete a 30-second survey and enter your credit card to cover $1.00 shipping: https://target-rewards-claim.xyz/gift","<p><a href='https://target-rewards-claim.xyz/gift'>target.com/rewards</a></p>","[]","PHISHING","1"
"124","Walmart Gift Card Portal <promotions@walmart-free-voucher.top>","","Walmart Shopper: Your $1,000 Shopping Voucher is Expiring","Claim your free grocery shopping card before midnight. Enter your full name, phone number, and bank account for verification: https://walmart-voucher.xyz/claim","<p><a href='https://walmart-voucher.xyz/claim'>walmart.com</a></p>","[]","PHISHING","1"
"125","Steam Community Support <security@steampowered-trade-guard.xyz>","","Trade Ban Notice: Your Steam Inventory is Flagged for Fraud","Your Steam account was reported for fraudulent trading. Confirm your Steam guard mobile code and password to avoid permanent VAC ban: https://steampowered-auth.xyz/trade","<p><a href='https://steampowered-auth.xyz/trade'>steampowered.com</a></p>","[]","PHISHING","1"
"126","PlayStation Network Security <sony@playstati0n-auth.xyz>","","PSN Account Suspension: Unauthorized charge disputed","Your PSN wallet has been frozen. Log in to verify your payment credentials and restore PlayStation Plus access: https://playstati0n-login.xyz/auth","<p><a href='https://playstati0n-login.xyz/auth'>playstation.com</a></p>","[]","PHISHING","1"
"127","DocuSign Review Team <signer@docusign-contracts-online.top>","","Action Required: Sign Employee Non-Disclosure Agreement","Human Resources sent you 'NDA_Confidential_2026.pdf'. Sign in with your company email and password to access the document: https://docusign-portal-auth.xyz/sign","<p><a href='https://docusign-portal-auth.xyz/sign'>docusign.net</a></p>","['NDA_Document.iso']","PHISHING","1"
"128","AT&T Billing Department <billing@att-phone-bill-update.xyz>","","Your AT&T Mobile Bill Payment Failed - Service Interruption Warning","Your wireless service will be disconnected in 24 hours due to an unpaid balance of $124.90. Update payment method: https://att-billing-auth.xyz/pay","<p><a href='https://att-billing-auth.xyz/pay'>att.com/myatt</a></p>","[]","PHISHING","1"
"129","Verizon Wireless <support@veriz0n-wireless-verify.net>","","Verizon Alert: Free 5G Phone Upgrade Waiting for Confirmation","Your line is eligible for a complimentary phone upgrade. Confirm your account PIN and billing password to claim device: https://veriz0n-upgrade.xyz/claim","<p><a href='https://veriz0n-upgrade.xyz/claim'>verizon.com</a></p>","[]","PHISHING","1"
"130","Geek Squad Protection <invoices@geeksquad-billing-center.xyz>","","Renewal Notice: Geek Squad Antivirus $399.00 Auto-Debited","Thank you for renewing your annual Geek Squad technical support plan. If you did not authorize this $399.00 charge, download attached cancellation dispute form immediately.","<p>Download cancellation form.</p>","['GeekSquad_Invoice.docm']","PHISHING","1"
"131","Norton LifeLock Security <security@norton-antivirus-renewal.top>","","Norton 360 Subscription Confirmed - $499.99 Debited","Your Norton Security protection plan has been renewed. If you wish to cancel this transaction and request a full refund, contact support via attached document.","<p>View attached cancellation instructions.</p>","['Norton_Refund_Form.pdf.exe']","PHISHING","1"
"132","McAfee Total Protection <billing@mcafee-subscription-alerts.xyz>","","McAfee Security Warning: Your Antivirus Protection Has Expired","Your computer is unprotected against malware and ransomware. Renew now to eliminate 14 active virus threats detected on your PC: https://mcafee-renew-auth.xyz/antivirus","<p><a href='https://mcafee-renew-auth.xyz/antivirus'>mcafee.com</a></p>","[]","PHISHING","1"
"133","Airbnb Host Support <reservations@airbnb-booking-verify.xyz>","","Guest Booking Inquiry: Urgent response needed within 2 hours","A traveler requested booking for 5 nights. Log in to your host dashboard to approve reservation and view guest credit card details: https://airbnb-auth.xyz/reservation","<p><a href='https://airbnb-auth.xyz/reservation'>airbnb.com</a></p>","[]","PHISHING","1"
"134","Uber Driver Support <driver@uber-partner-verification.top>","","Uber Driver Alert: Direct Deposit Banking Information Rejected","Your weekly earnings payout of $840.00 was returned. Please re-enter your bank account and debit card credentials immediately: https://uber-driver-payout.xyz/bank","<p><a href='https://uber-driver-payout.xyz/bank'>uber.com/drive</a></p>","[]","PHISHING","1"
"135","Spotify Family Plan <support@sp0tify-family-auth.xyz>","","Spotify Family Plan: Verify your home address to keep membership","All members on your family plan must confirm their home postal address and login password within 24 hours to maintain discount: https://sp0tify-family-verify.xyz/login","<p><a href='https://sp0tify-family-verify.xyz/login'>spotify.com/family</a></p>","[]","PHISHING","1"
"136","Survey Rewards Portal <feedback@opinions-survey-relay.net>","opinions@survey-research-group.org","Quick 2-Minute Feedback Survey from Third-Party Research Partner","Hello,

You have been invited to participate in a consumer preferences study conducted by an independent research panel on behalf of your service provider. A small honorarium is provided upon completion.","<p>Take the survey: <a href='https://opinions-survey-relay.net/survey/28491'>Take Survey</a></p>","[]","SUSPICIOUS","0"
"137","Campus Vendor Portal <notifications@campus-print-vendor.io>","","External Printing Service: Invoice for Lab Poster","Attached is the automated invoice for poster printing requested by student organization account. Please review line items.","<p>Review attached print invoice.</p>","['Poster_Print_Invoice.pdf']","SUSPICIOUS","0"
"138","Third-Party Account Security <verify@external-sso-gateway.net>","support@sso-gateway.org","Unrecognized Device Login to Connected Third-Party App","An external web application authenticated using your linked account. If this was you using the campus lab computer, no action is needed.","<p>Review connected third-party apps on your account settings.</p>","[]","SUSPICIOUS","0"
"139","Automated Password Reset <no-reply@auth-reset-daemon.com>","","Password Reset Request Received","We received a request to reset your password. If you did not make this request, you can safely ignore this email. Your password will remain unchanged.","<p>Ignore if you did not request a reset.</p>","[]","SUSPICIOUS","0"
"140","International Conference Committee <secretary@appliedsciences-symposium.org.in>","","Call for Papers: 14th International Symposium on Applied Engineering","We invite researchers and graduate students to submit abstracts for presentation at the annual symposium. Early bird registration ends soon.","<p>Submit abstracts to conference portal.</p>","[]","SUSPICIOUS","0"
"141","Domain Name Service Registrar <renewals@domain-registry-services.biz>","support@domain-registrar-help.com","Upcoming Domain Registration Expiration Notice for Project Demo","Your test project domain name registration is scheduled to expire in 45 days. You may renew through your registrar console.","<p>Check renewal status.</p>","[]","SUSPICIOUS","0"
"142","Beta Software Testing <invites@earlyaccess-testing-hub.net>","","Invitation to Beta Test New Developer Productivity Tools","You signed up for developer early access. Download the preview build and provide feedback on our community forum.","<p><a href='https://earlyaccess-testing-hub.net/download'>Download Beta</a></p>","['Beta_Release_Notes.zip']","SUSPICIOUS","0"
"143","E-Commerce Order Notification <updates@global-crossborder-logistics.cn>","","Tracking Information: International Component Shipment #GL-84920","Your electronic component order from international supplier has cleared export customs and is handed over to local courier.","<p>Track shipment on logistics portal.</p>","[]","SUSPICIOUS","0"
"144","Regional Bank Marketing <offers@regional-cooperative-credit.com>","","New High-Yield Savings Account Rates Available","Explore our updated 4.5% APY high-yield savings account options. Visit our local branch or website to learn more.","<p>Learn about savings rates.</p>","[]","SUSPICIOUS","0"
"145","Freelance Platform Matching <talent@remotework-contractors.biz>","gigs@remotework-contractors.biz","New Contract Match: Python Web Scraping & Data Cleaning","A client posted a part-time contract matching your developer profile skills. Review project description and scope on the platform.","<p>Review gig details.</p>","[]","SUSPICIOUS","0"
"146","Software License Audit <compliance@enterprise-software-audits.org>","","Annual Software Asset Management Survey for Academic Labs","Please complete the annual hardware and software asset survey for lab equipment to ensure licensing compliance.","<p>Complete compliance checklist.</p>","['Software_Inventory_Form.xlsx']","SUSPICIOUS","0"
"147","University Alumni Mentorship <mentors@alumni-connect-network.org>","","Alumni Career Mentorship Program: Matching Open for Fall","Connect with experienced industry alumni for resume reviews and career guidance. Register as a student mentee.","<p>Register for mentorship.</p>","[]","SUSPICIOUS","0"
"148","Cloud Server Maintenance Alert <devops@hosting-infrastructure-monitor.net>","","Scheduled Database Optimization on Shared Cluster","Routine database index maintenance will run on server cluster node 4 between 3:00 AM and 3:30 AM UTC.","<p>Check cluster status page.</p>","[]","SUSPICIOUS","0"
"149","Academic Book Publisher <editor@scholarly-press-academic.co.uk>","","Book Proposal Review Request in Computational Science","Our editorial board is seeking peer reviewers for a forthcoming textbook manuscript on distributed computing systems.","<p>Review manuscript table of contents.</p>","[]","SUSPICIOUS","0"
"150","Event Ticket Transfer <transfers@ticket-exchange-hub.net>","service@ticket-exchange-hub.net","A friend initiated a ticket transfer for Music Festival","User has transferred 1 general admission ticket to your email. Log in to claim your mobile ticket pass.","<p><a href='https://ticket-exchange-hub.net/claim'>Claim Ticket</a></p>","[]","SUSPICIOUS","0"
